Prec_ID	Settype	District_name	District	Precint	Attached	Total_Voters	Special_voters	Turnout12	Turnout17	Turnout	Free_georgia	NDP	UNM	Just_georgia	CDM	Popular_movement	Freedom_Zviadi	Georgian_troupe	New_rights	Peoples_party	Kostava_society	Future_georgia	Georgian_workers	Labor	Sportsmens_union	GDC	Annulled
82002	Rural	შუახევის	82	2		229	6	36	100	127	1	0	63	1	9	0	0	0	0	0	0	0	0	8	0	44	1
82003	Rural	შუახევის	82	3		333	4	81	183	220	1	0	141	0	12	1	1	1	0	0	0	0	0	2	0	61	0
82004	Rural	შუახევის	82	4		471	5	93	247	276	1	1	152	2	12	0	0	0	4	0	0	1	0	13	0	78	12
82005	Rural	შუახევის	82	5		475	0	97	250	293	0	0	185	0	19	0	0	0	0	0	0	0	0	6	0	73	10
82006	Rural	შუახევის	82	6		382	2	76	168	198	0	1	128	0	11	0	0	0	3	0	0	0	0	3	0	46	6
82007	Rural	შუახევის	82	7		171	2	33	73	104	0	0	74	0	7	0	0	0	0	0	0	0	0	2	0	17	4
82008	Rural	შუახევის	82	8		120	4	40	69	82	0	0	55	0	8	0	0	0	2	0	0	0	0	0	0	14	3
82009	Rural	შუახევის	82	9		342	0	78	194	218	0	0	123	1	17	0	0	0	4	0	0	0	0	2	1	68	2
82010	Rural	შუახევის	82	10		356	0	103	230	247	0	0	121	2	19	1	0	0	0	0	0	0	0	4	0	94	6
82011	Rural	შუახევის	82	11		138	2	25	88	99	0	0	49	1	4	0	0	0	0	0	0	0	0	0	0	39	6
82012	Rural	შუახევის	82	12		214	2	65	157	163	0	1	106	0	8	0	0	0	0	0	0	0	0	5	0	42	1
82013	Rural	შუახევის	82	13		163	2	62	113	118	1	0	71	0	5	1	0	0	0	0	0	0	0	3	0	35	2
82014	Rural	შუახევის	82	14		615	3	161	355	378	0	0	275	0	14	0	0	0	1	0	0	4	1	4	0	70	9
82015	Rural	შუახევის	82	15		708	3	35	315	416	1	0	233	2	16	0	0	0	7	0	0	2	0	7	0	128	18
82016	Rural	შუახევის	82	16		656	2	126	346	413	0	4	235	2	17	0	0	0	3	0	0	0	0	1	1	143	7
82017	Rural	შუახევის	82	17		382	4	120	216	239	0	3	176	0	9	1	0	0	1	0	0	0	0	4	0	41	4
82018	Rural	შუახევის	82	18		201	3	81	136	145	0	0	94	0	8	0	0	0	4	0	0	0	0	2	0	37	0
82019	Rural	შუახევის	82	19		88	1	48	74	77	0	0	40	0	16	0	0	0	0	0	0	0	0	0	0	18	3
82020	Rural	შუახევის	82	20		367	2	100	176	226	1	0	140	5	33	0	0	0	0	0	0	0	0	3	0	41	3
82021	Rural	შუახევის	82	21		243	2	107	171	179	0	3	125	1	14	0	0	0	2	0	0	0	0	4	0	28	2
82022	Rural	შუახევის	82	22		134	3	72	98	105	0	0	78	0	8	0	0	0	2	0	0	0	0	2	0	10	5
82023	Rural	შუახევის	82	23		510	2	150	280	333	1	0	151	2	12	0	0	0	0	0	0	0	0	6	0	148	13
82024	Rural	შუახევის	82	24		216	2	56	125	146	0	0	88	0	9	1	0	0	0	0	0	1	0	2	0	42	3
82025	Rural	შუახევის	82	25		269	3	80	181	200	9	1	120	0	15	1	0	0	0	0	0	0	0	3	0	46	5
82026	Rural	შუახევის	82	26		234	2	90	140	147	0	0	100	0	19	0	0	0	0	0	0	0	0	1	0	22	5
82027	Rural	შუახევის	82	27		278	34	130	209	217	0	0	165	1	7	0	0	0	1	0	0	0	0	0	0	39	4
82028	Rural	შუახევის	82	28		510	3	129	284	330	2	1	134	3	26	0	0	0	5	0	0	0	0	2	0	139	18
82029	Rural	შუახევის	82	29		271	1	76	155	191	1	1	122	0	15	0	0	0	0	0	0	0	0	2	0	44	6
82030	Rural	შუახევის	82	30		221	29	68	131	161	0	0	107	2	15	0	0	0	0	0	0	0	0	0	0	32	5
82031	Rural	შუახევის	82	31		319	2	122	192	219	0	0	144	1	13	0	0	1	0	0	0	0	0	5	0	47	0
82032	Rural	შუახევის	82	32		198	0	64	90	126	1	0	85	0	10	0	0	0	0	0	0	1	0	0	0	25	4
82033	Rural	შუახევის	82	33		147	0	24	61	77	0	0	28	0	7	0	0	0	0	0	0	0	0	3	0	32	7
82034	Rural	შუახევის	82	34		264	1	91	121	165	0	0	107	3	14	0	0	0	0	0	0	0	0	0	0	38	2
82035	Rural	შუახევის	82	35		192	5	45	91	118	0	0	74	0	10	0	0	0	3	1	0	0	0	0	0	30	0
82036	Rural	შუახევის	82	36		323	1	71	136	176	0	0	104	0	11	0	0	0	2	0	0	0	0	3	0	49	7
82037	Rural	შუახევის	82	37		259	2	74	142	166	0	2	129	0	2	0	0	0	1	0	0	0	0	1	0	29	2
82038	Rural	შუახევის	82	38		429	2	92	206	256	0	1	150	0	10	0	0	0	0	0	0	1	0	8	1	73	12
82039	Rural	შუახევის	82	39		463	1	92	245	286	0	1	160	1	25	0	0	0	0	0	0	2	0	5	0	85	7
82040	Rural	შუახევის	82	40		258	2	53	110	154	0	0	75	0	4	0	0	0	0	0	0	0	0	3	0	65	7
82041	Rural	შუახევის	82	41		382	2	91	210	254	0	0	197	0	6	0	0	0	3	0	0	0	0	4	0	38	6
82042	Rural	შუახევის	82	42		365	1	73	199	213	0	1	142	3	17	2	0	0	3	0	0	0	0	3	0	39	3
82043	Rural	შუახევის	82	43		406	5	61	216	276	1	1	111	2	21	0	0	0	2	0	0	0	0	6	1	123	8
82044	Rural	შუახევის	82	44		141	0	71	111	113	0	0	59	0	10	0	0	0	0	0	0	0	0	2	0	40	2
82045	Rural	შუახევის	82	45		223	4	38	125	161	0	0	83	1	11	0	0	0	4	0	0	15	0	1	0	33	13
82046	Rural	შუახევის	82	46		292	4	55	152	172	0	0	73	0	6	0	0	0	2	0	0	0	0	2	0	82	7
